Generacija,Genotip,Accuracy,Latency,Resources
0,"(2, 8)",58.838,3.0,375.0
0,"(2, 2)",45.264,7.5,150.0
0,"(2, 4)",53.87,5.0,225.0
0,"(2, 2)",32.858,7.5,150.0
0,"(4, 8)",52.618,2.5,450.0
0,"(8, 4)",59.452,2.5,450.0
1,"(2, 2)",45.264,7.5,150.0
1,"(8, 8)",60.308,1.875,600.0
1,"(2, 4)",54.93,5.0,225.0
1,"(4, 4)",52.168,3.75,300.0
1,"(8, 4)",59.452,2.5,450.0
1,"(2, 8)",60.184,3.0,375.0
2,"(2, 2)",45.264,7.5,150.0
2,"(8, 8)",60.51,1.875,600.0
2,"(8, 4)",59.452,2.5,450.0
2,"(2, 4)",54.93,5.0,225.0
2,"(4, 4)",52.168,3.75,300.0
2,"(2, 8)",60.184,3.0,375.0
3,"(2, 2)",45.264,7.5,150.0
3,"(2, 2)",45.264,7.5,150.0
3,"(8, 8)",62.58,1.875,600.0
3,"(2, 4)",54.93,5.0,225.0
3,"(4, 4)",52.168,3.75,300.0
3,"(2, 8)",60.184,3.0,375.0
