Generation,Individual,Accuracy,Latency,Resources
0,"(4, 4)",52.188,5.0,400.0
0,"(8, 8)",50.876,2.5,800.0
0,"(4, 8)",47.808,3.3333333333333335,600.0
0,"(2, 2)",40.66,10.0,200.0
0,"(2, 4)",47.062,6.666666666666667,300.0
0,"(2, 2)",41.448,10.0,200.0
1,"(4, 4)",52.188,5.0,400.0
1,"(8, 8)",50.876,2.5,800.0
1,"(2, 2)",41.448,10.0,200.0
1,"(2, 4)",47.73,6.666666666666667,300.0
1,"(4, 8)",49.072,3.3333333333333335,600.0
1,"(2, 8)",50.114,4.0,500.0
2,"(4, 4)",52.188,5.0,400.0
2,"(8, 8)",50.876,2.5,800.0
2,"(2, 2)",41.448,10.0,200.0
2,"(2, 4)",47.73,6.666666666666667,300.0
2,"(4, 8)",49.072,3.3333333333333335,600.0
2,"(2, 8)",50.114,4.0,500.0
3,"(4, 4)",52.188,5.0,400.0
3,"(8, 8)",50.876,2.5,800.0
3,"(2, 2)",41.448,10.0,200.0
3,"(2, 2)",41.448,10.0,200.0
3,"(2, 4)",47.73,6.666666666666667,300.0
3,"(2, 4)",47.73,6.666666666666667,300.0
